Station Name,Province,Year,Mean Temperature (C),Total Precipitation (mm)
BEAR CREEK,BC,1971,15.4,20.9
COWICHAN BAY CHERRY POINT,BC,1971,17.4,12.8
COWICHAN LAKE FORESTRY,BC,1971,18.8,21.3
COWICHAN LAKE VILLAGE,BC,1971,17.7,36.4
DUNCAN FORESTRY,BC,1971,17.7,18.1
EAST SOOKE ANDERSON COVE,BC,1971,16.3,8.4
ELK LAKE,BC,1971,17.7,10.4
JAMES ISLAND,BC,1971,17.1,12.2
PORT RENFREW,BC,1971,15.0,52.1
RIVER JORDAN,BC,1971,14.3,11.5
SAANICHTON CDA,BC,1971,16.9,9.9
SAANICH DENSMORE,BC,1971,19.7,10.2
SALTSPRING ISLAND,BC,1971,17.8,14.5
SAANICH DOM ASTRO OBS,BC,1971,19.1,9.4
SALTSPRING VESUVIUS,BC,1971,18.4,6.3
SHAWNIGAN LAKE,BC,1971,17.7,21.9
SOUTH PENDER ISLAND 2,BC,1971,17.1,16.1
VICTORIA GONZALES HTS,BC,1971,15.3,13.3
VICTORIA INT'L A,BC,1971,16.4,13.9
VICTORIA MARINE,BC,1971,13.7,9.2
VICTORIA TILLICUM,BC,1971,16.9,8.9
WILLIAM HEAD,BC,1971,15.9,10.0
VICTORIA SHORT STREET,BC,1971,17.7,7.2
ALERT BAY,BC,1971,14.3,40.5
CAMPBELL RIVER A,BC,1971,17.1,19.6
CAMPBELL RIVER BCFS,BC,1971,18.5,15.6
CAMPBELL R LAKEVIEW FC,BC,1971,17.5,24.2
CHATHAM POINT,BC,1971,16.5,46.9
COAL HARBOUR RUPERT IN,BC,1971,16.7,39.4
COMOX A,BC,1971,18.1,11.7
CORTES ISLAND,BC,1971,18.4,19.6
CUMBERLAND,ON,1971,17.4,30.8
MUD BAY,BC,1971,18.0,26.2
NANAIMO A,BC,1971,18.4,23.5
NANAIMO CHUB,BC,1971,19.4,19.8
OYSTER RIVER UBC,BC,1971,16.7,33.9
NANAIMO DEPARTURE BAY,BC,1971,19.8,18.2
PORT HARDY A,BC,1971,13.9,37.9
QUALICUM R FISH RESEARCH,BC,1971,16.9,27.5
STRATHCONA DAM,BC,1971,17.7,33.9
ALBERNI LUPSI CUPSI,BC,1971,18.8,14.1
ALBERNI MCCOY LAKE,BC,1971,18.5,26.3
ALBERNI ROBERTSON CREEK,BC,1971,18.5,21.2
AMPHITRITE POINT,BC,1971,13.4,28.8
BAMFIELD EAST,BC,1971,14.0,29.8
BULL HARBOUR,BC,1971,13.1,46.0
CAPE SCOTT,BC,1971,13.1,41.9
CARNATION CREEK CDF,BC,1971,15.2,44.5
ESTEVAN POINT,BC,1971,13.1,31.6
HOLBERG,BC,1971,12.4,67.6
HOLBERG FIRE DEPT,BC,1971,15.2,57.9
KILDONAN FATTY BASIN,BC,1971,15.9,47.2
PACHENA POINT,BC,1971,13.2,44.2
PORT ALBERNI A,BC,1971,18.0,17.0
PORT ALBERNI REDFORD,BC,1971,19.5,20.9
PORT ALICE,BC,1971,17.0,33.3
QUATSINO,BC,1971,15.7,25.5
SPRING ISLAND,BC,1971,13.8,46.0
TOFINO A,BC,1971,14.0,53.2
ALTA LAKE,BC,1971,17.1,22.6
BRITANNIA BEACH FURRY CR,BC,1971,18.1,36.2
CLOWHOM FALLS,BC,1971,18.3,26.7
DAISY LAKE DAM,BC,1971,17.0,30.2
